NAME,B01001_001E,B01001_002E,B01001_026E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B11001_001E,B11001_002E,B15003_001E,B15003_017E,B15003_021E,B15003_023E,B19013_001E,B19001_002E,B19001_017E,B19301_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B12001_001E,B12001_003E,B12001_009E,B12001_011E,B16001_001E,B16001_002E,B16001_003E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,B25035_001E,B25071_001E,B27001_001E,B27001_005E,B27001_008E,B08006_001E,B08006_002E,B08013_001E,B28002_001E,B28002_002E,B28002_004E,B19052_001E,B19083_001E,state,county
Area name,Total population,Male population,Female population,Median age,White alone,Black or African American alone,Asian alone,Total households,Family households,Population 25 years and over,High school graduate,Bachelor’s degree,Graduate or professional degree,Median household income,"Households earning less than $10,000","Households earning $200,000 or more",Per capita income,Unemployed individuals,Labor force,Population below poverty level,Total population for poverty status,Individuals with a hearing difficulty,Individuals with a vision difficulty,Individuals with a cognitive difficulty,Individuals with an ambulatory difficulty,Population 15 years and over,Now married,Divorced,Widowed,Population 5 years and over,English only,Spanish-speaking population,Median home value,Median gross rent,Owner-occupied housing units,Renter-occupied housing units,Median year housing unit was built,Monthly housing costs as a percentage of household income,Total health insurance coverage status,Male with public health insurance,Female with private health insurance,Total workers 16 years and over,"Car, truck, or van - drove alone",Travel time to work (minutes),Total households,Households with internet access,Households with broadband internet,Household income from Social Security,Gini index of income inequality,,
"Tucker County, West Virginia",6982,3512,3470,49.3,6799,33,38,3142,2041,5378,2194,264,358,49118,248,15,25686,201,3265,848,6769,0,53,91,318,6106,902,191,3030,,,,121600,552,2467,675,1980,27.0,6803,0,3,3026,2818,82800,3142,2377,2370,3142,0.3991,54,093
"Tyler County, West Virginia",8811,4394,4417,47.0,8602,32,62,3207,2046,6448,2834,664,256,43087,223,56,24924,188,3315,1439,8650,22,36,59,391,7390,1022,105,3725,,,,96300,664,2653,554,1966,28.5,8734,2,31,3064,2790,81150,3207,2274,2238,3207,0.4714,54,095
"Roane County, West Virginia",14020,6923,7097,45.8,13723,9,22,5562,3670,10118,3690,807,422,37373,554,150,21711,426,5010,2539,13777,0,129,176,795,11602,1607,233,5878,,,,98900,510,4409,1153,1975,29.3,13925,0,26,4529,4030,130545,5562,3816,3770,5562,0.4588,54,087
"Taylor County, West Virginia",16864,8490,8374,44.1,16245,218,52,6614,4364,12384,4609,802,454,48578,475,144,25214,663,7381,2751,16419,0,103,170,762,14022,2045,227,6986,,,,107000,652,5156,1458,1974,26.3,16448,27,26,6601,6309,189070,6614,5299,5265,6614,0.4233,54,091
"Wood County, West Virginia",84960,41052,43908,43.5,81720,1208,445,35488,22613,60572,17896,6508,3801,47321,3065,1135,27725,1735,37529,14116,83925,17,516,742,3560,70144,9892,1495,36469,,,,124200,713,25366,10122,1970,29.8,84384,24,118,35132,32466,678445,35488,28510,28401,35488,0.4709,54,107
"Gilmer County, West Virginia",8041,4725,3316,39.2,6694,966,75,2587,1671,5565,1834,271,278,42636,285,7,18067,329,3033,1069,6520,0,8,60,240,7017,2052,81,2868,,,,93300,584,1783,804,1975,29.2,6835,79,18,2627,2321,74360,2587,1854,1839,2587,0.4197,54,021
"Mason County, West Virginia",26820,13022,13798,44.2,26092,112,172,11034,7612,19272,7613,1719,740,46078,841,155,24844,390,10447,4137,25966,0,247,160,1000,22097,2361,276,11592,,,,87600,615,8768,2266,1976,23.9,26121,8,59,9757,9295,269330,11034,7682,7682,11034,0.4514,54,053
"Monroe County, West Virginia",13401,6657,6744,48.0,13027,125,0,5718,3645,9972,3986,483,408,38540,526,98,23923,544,5606,2020,13233,0,50,116,804,11268,1226,409,5688,,,,107900,626,4499,1219,1975,26.0,13316,18,99,4904,4443,157675,5718,3916,3916,5718,0.4379,54,063
"Pleasants County, West Virginia",7482,4045,3437,43.6,7196,21,0,2835,2057,5421,2375,442,199,56838,150,70,29974,326,3329,853,6936,0,33,80,185,6391,1097,193,2921,,,,106600,572,2339,496,1973,24.0,6936,0,3,2864,2754,71780,2835,2223,2158,2835,0.4908,54,073
"Cabell County, West Virginia",94339,46172,48167,38.8,85501,4587,1283,39064,21469,62993,17279,5248,4662,40028,5095,1293,25271,2191,40339,20153,90373,0,473,1230,3741,78750,14800,1317,40685,,,,124500,748,24143,14921,1968,33.9,92831,84,250,37241,33330,742840,39064,28111,27896,39064,0.5097,54,011
