NAME,B01001_001E,B01001_002E,B01001_026E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B11001_001E,B11001_002E,B15003_001E,B15003_017E,B15003_021E,B15003_023E,B19013_001E,B19001_002E,B19001_017E,B19301_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B12001_001E,B12001_003E,B12001_009E,B12001_011E,B16001_001E,B16001_002E,B16001_003E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,B25035_001E,B25071_001E,B27001_001E,B27001_005E,B27001_008E,B08006_001E,B08006_002E,B08013_001E,B28002_001E,B28002_002E,B28002_004E,B19052_001E,B19083_001E,state,county
Area name,Total population,Male population,Female population,Median age,White alone,Black or African American alone,Asian alone,Total households,Family households,Population 25 years and over,High school graduate,Bachelor’s degree,Graduate or professional degree,Median household income,"Households earning less than $10,000","Households earning $200,000 or more",Per capita income,Unemployed individuals,Labor force,Population below poverty level,Total population for poverty status,Individuals with a hearing difficulty,Individuals with a vision difficulty,Individuals with a cognitive difficulty,Individuals with an ambulatory difficulty,Population 15 years and over,Now married,Divorced,Widowed,Population 5 years and over,English only,Spanish-speaking population,Median home value,Median gross rent,Owner-occupied housing units,Renter-occupied housing units,Median year housing unit was built,Monthly housing costs as a percentage of household income,Total health insurance coverage status,Male with public health insurance,Female with private health insurance,Total workers 16 years and over,"Car, truck, or van - drove alone",Travel time to work (minutes),Total households,Households with internet access,Households with broadband internet,Household income from Social Security,Gini index of income inequality,,
"Jasper County, South Carolina",28657,14375,14282,40.3,15011,11909,120,10269,7298,20180,6746,1408,1053,45601,760,245,24566,961,13270,4960,27967,29,105,268,847,23501,4216,445,11753,,,,166200,929,7366,2903,1996,33.1,28115,9,200,12158,11270,367280,10269,7037,7003,10269,0.4589,45,053
"Lee County, South Carolina",17365,8865,8500,41.8,5721,11163,8,6423,3971,12203,4266,994,675,32371,881,171,19300,513,6453,3977,15889,17,152,240,501,14596,3718,233,7130,,,,78800,656,4798,1625,1981,38.6,15902,0,15,5894,5597,150955,6423,3677,3630,6423,0.5068,45,061
"Abbeville County, South Carolina",24627,11941,12686,44.3,17221,6804,79,9660,6248,17118,4774,2244,620,38741,984,124,22646,586,10690,4479,23927,0,184,408,790,20482,3383,415,10665,,,,90800,681,7248,2412,1976,32.1,24397,134,91,9791,8948,261785,9660,6655,6643,9660,0.4790,45,001
"Lyman County, South Dakota",3848,2004,1844,35.5,2167,4,24,1397,968,2360,770,206,104,53862,123,24,22850,127,1827,778,3793,5,9,28,78,2894,602,20,1390,,,,102800,568,939,458,1974,18.5,3827,21,86,1665,1372,19740,1397,1024,1017,1397,0.3886,46,085
"Deuel County, South Dakota",4318,2250,2068,42.8,4282,1,0,1798,1243,3014,1032,347,71,65437,69,48,30601,19,2350,371,4249,6,12,9,82,3459,422,39,1686,,,,133500,629,1421,377,1966,20.8,4260,0,0,2309,2061,51120,1798,1395,1373,1798,0.3788,46,039
"Glenn County, California",27976,14218,13758,36.4,22685,230,825,10085,7390,17951,4002,1655,342,49633,661,272,22668,635,11914,4818,27522,13,154,178,873,21787,3126,173,10877,,,,233200,835,5988,4097,1974,30.0,27679,73,193,10994,9856,230705,10085,7273,7223,10085,0.4442,06,021
"Butte County, California",225817,111735,114082,37.1,184180,3461,10432,85320,51447,147509,27149,14690,8461,52537,5949,4774,29506,8462,104557,41974,220091,137,1605,3136,7000,188065,38161,2687,95651,,,,271700,1060,50331,34989,1978,34.8,223229,341,573,93125,80739,1836665,85320,73174,72838,85320,0.4944,06,007
"Kings County, California",150691,82995,67696,31.8,102062,9642,5817,43452,33431,92916,19600,7780,2843,57848,2251,1623,22373,4496,58904,24725,135855,9,1012,1056,3273,115970,27875,1382,50598,,,,215900,990,22733,20719,1984,29.2,133994,102,492,56799,51917,1234020,43452,35131,34944,43452,0.4272,06,031
"Plumas County, California",18660,9282,9378,52.3,16855,166,222,8450,5040,14479,3331,1794,1087,55359,517,357,35198,439,8172,2224,18334,0,141,192,646,16071,2325,430,8050,,,,242300,916,6156,2294,1979,28.3,18504,0,64,7485,6512,139415,8450,6634,6585,8450,0.4667,06,063
"San Luis Obispo County, California",282165,143006,139159,39.2,241123,5319,10296,105981,67168,188857,32377,19590,17012,73518,5501,9621,37233,5530,137209,33261,266098,0,1248,2026,4997,240564,47751,2963,118828,,,,574000,1476,65248,40733,1982,32.3,275626,286,843,130710,109505,2629935,105981,93705,93311,105981,0.4496,06,079
"Fresno County, California",984521,491146,493375,32.2,639985,46782,101857,307906,222417,604137,119093,52408,27427,53969,21025,15037,24422,38876,446387,218254,968001,370,6410,8925,24112,748422,157007,8000,377926,,,,255000,998,164124,143782,1980,33.6,973266,1245,3392,395689,358839,8716890,307906,247727,246790,307906,0.4746,06,019
"Kern County, California",887641,454843,432798,31.6,660147,48550,42100,270282,200426,537799,128346,40909,20953,53350,17271,11920,23326,37459,380904,179980,857145,372,4802,7719,18778,671039,140731,7576,326151,,,,213900,978,157554,112728,1982,32.8,859905,959,3554,337438,312464,7592030,270282,216465,215472,270282,0.4668,06,029
"Orange County, California",3168044,1563832,1604212,38.1,1931263,55591,649042,1037492,744011,2168424,334731,167552,217133,90234,43296,161050,41514,77176,1669327,340048,3130730,649,13087,17735,40993,2588447,476494,25661,1321160,,,,679300,1854,595272,442220,1976,33.2,3151089,2579,9699,1562046,1373411,41008055,1037492,944471,941030,1037492,0.4685,06,059
"Ventura County, California",847263,419111,428152,38.1,678658,15594,62190,271040,196407,570146,98987,53034,48177,88131,8137,35998,38595,22340,438092,74645,835220,303,4807,5538,15537,685317,127461,8089,348355,,,,588400,1776,171174,99866,1976,33.8,840257,743,2831,407902,366144,10427805,271040,239530,238974,271040,0.4455,06,111
"Calaveras County, California",45514,22663,22851,52.0,41173,315,684,16942,11691,34848,8455,3776,1493,63158,626,941,33456,1174,18397,5147,45051,12,260,412,2099,39203,5958,716,19690,,,,319500,1339,13173,3769,1986,34.8,45112,0,47,16860,14753,582480,16942,14165,13935,16942,0.4414,06,009
"Sutter County, California",96109,47866,48243,35.7,66293,1827,15048,32636,23837,62626,13067,6740,2926,59050,1571,1575,27371,3531,42576,14687,94914,62,441,856,2303,75247,11459,903,38146,,,,279400,1033,18839,13797,1979,31.0,94654,162,347,38584,35352,1011065,32636,27125,26994,32636,0.4530,06,101
"San Mateo County, California",767423,379328,388095,39.7,388318,17784,220151,263543,184628,551290,72718,38754,77549,122641,7110,75157,61545,16104,430851,51085,761226,165,2491,3064,8687,634228,112235,6448,323031,,,,1089400,2316,158543,105000,1965,29.3,763665,358,1145,406128,316662,11263490,263543,240433,239854,263543,0.4849,06,081
"Tuolumne County, California",54045,28112,25933,48.4,47447,984,754,22502,13757,41304,9702,4295,2045,60108,1144,1370,34702,1156,22149,6443,50532,0,219,476,2126,46588,7414,853,22292,,,,289200,1009,16039,6463,1978,31.9,50971,12,291,20071,17981,508710,22502,18638,18451,22502,0.4832,06,109
"San Joaquin County, California",742603,370152,372451,34.3,419288,51931,115531,228567,170529,467455,116010,44079,19050,64432,11002,15472,27521,26334,339463,105461,726994,189,4269,6118,18197,574484,109880,7060,290474,,,,342100,1208,129419,99148,1981,32.3,732477,720,2490,303147,277817,9950605,228567,190449,189430,228567,0.4529,06,077
"Amador County, California",38429,20640,17789,50.5,33327,904,508,14594,9872,30295,7047,4166,1075,62772,656,764,31987,1010,14675,3451,34700,24,173,322,1185,33646,5364,644,15381,,,,313700,1103,11165,3429,1981,32.4,34742,96,79,13281,11634,393310,14594,12488,12351,14594,0.4490,06,005
"Phillips County, Colorado",4290,2226,2064,37.1,4146,9,22,1689,1115,2800,735,357,126,51155,80,49,26494,28,1976,256,4210,0,13,5,93,3302,598,43,1482,,,,158500,751,1214,475,1957,18.5,4210,0,119,1903,1696,29970,1689,1349,1335,1689,0.3953,08,095
"Archuleta County, Colorado",13253,6657,6596,50.9,11136,230,126,5858,3839,10137,1792,772,871,52221,244,274,31629,329,6417,1153,13150,0,20,43,352,11261,1168,95,5639,,,,314400,961,4230,1628,1994,30.0,13146,0,68,5893,4911,95645,5858,4909,4868,5858,0.4511,08,007
"Denver County, Colorado",705576,353311,352265,34.5,537029,65215,26156,301501,146070,508718,67690,26788,66425,68592,18849,30417,43770,15669,417715,89203,693555,253,2823,4390,13267,585637,134974,5960,293158,,,,390600,1311,150382,151119,1969,28.8,699351,748,2599,394894,303276,9356980,301501,261979,261107,301501,0.4909,08,031
"Kiowa County, Colorado",1489,722,767,42.5,1433,6,0,638,386,996,311,136,56,41731,33,23,25937,20,717,177,1460,0,7,22,37,1133,138,27,620,,,,86500,750,474,164,1963,22.5,1462,10,0,679,560,9765,638,540,540,638,0.4434,08,061
"Huerfano County, Colorado",6679,3288,3391,55.0,6140,34,0,3225,1863,5216,1387,538,213,38137,283,42,25140,82,2642,1030,6510,0,61,52,225,5749,685,149,2943,,,,161600,626,2314,911,1972,31.3,6537,0,30,2459,1926,44940,3225,2105,2079,3225,0.4341,08,055
"Baca County, Colorado",3561,1744,1817,46.0,3357,34,0,1662,1076,2608,641,305,104,35878,148,20,24061,34,1656,654,3437,0,23,24,106,2932,293,47,1518,,,,83500,443,1180,482,1964,25.1,3461,10,14,1598,1364,19040,1662,1186,1184,1662,0.4562,08,009
"Gilpin County, Colorado",6018,3048,2970,49.0,5562,20,0,2802,1640,4923,776,441,526,76429,88,190,49641,60,3908,286,5856,0,14,5,68,5345,670,72,2653,,,,353400,1159,2230,572,1983,28.0,5960,0,21,3767,3150,121675,2802,2516,2507,2802,0.4468,08,047
"Kit Carson County, Colorado",7447,3994,3453,38.3,6861,186,14,3004,2005,5198,1541,512,299,49349,99,83,27797,131,3645,421,6951,0,67,63,171,5925,704,116,2759,,,,122400,736,1995,1009,1971,23.8,6951,14,38,3350,2846,37125,3004,2441,2430,3004,0.4595,08,063
"Gunnison County, Colorado",16802,9101,7701,34.5,16083,95,57,6616,3381,10601,1410,623,1362,56577,285,363,32191,526,10273,2154,16075,0,36,175,340,14440,3981,234,6593,,,,367300,992,4065,2551,1984,30.0,16755,0,46,9470,6439,140775,6616,5711,5621,6616,0.4321,08,051
"Mineral County, Colorado",824,422,402,56.1,720,9,4,367,263,697,89,52,88,62188,17,13,33955,11,429,113,824,0,0,0,26,741,80,10,368,,,,308600,720,318,49,1988,24.4,824,0,0,405,283,5010,367,304,304,367,0.3755,08,079
"Ouray County, Colorado",4796,2437,2359,54.1,4684,15,35,2163,1369,3851,534,289,530,66417,67,173,41160,92,2421,344,4789,0,0,0,101,4167,445,66,2099,,,,449000,1223,1564,599,1994,31.0,4796,4,71,2266,1670,53420,2163,1877,1857,2163,0.4666,08,091
"Sedgwick County, Colorado",2322,1109,1213,44.1,2175,19,22,967,564,1614,386,205,88,43150,80,45,27527,71,1013,434,2284,0,6,20,82,1828,235,35,939,,,,97100,556,690,277,1947,29.5,2290,0,9,923,714,17325,967,729,715,967,0.5065,08,115
"Weld County, Colorado",305345,154294,151051,34.4,275792,3643,4833,104671,76512,196540,44419,17932,13676,74150,4721,6375,31793,6445,159017,29866,298294,57,1280,2371,5780,237777,36942,2487,118112,,,,299000,1085,76321,28350,1994,29.5,302837,572,1336,150170,135219,3903735,104671,90366,90036,104671,0.4157,08,123
"Custer County, Colorado",4776,2442,2334,59.7,4441,138,0,2214,1503,3812,766,318,308,53119,181,32,29258,104,1829,601,4731,0,22,2,201,4236,279,104,2060,,,,281900,620,1930,284,1991,32.9,4768,29,43,1650,1284,42790,2214,1871,1864,2214,0.4154,08,027
"Costilla County, Colorado",3745,1985,1760,51.9,3311,14,48,1746,1042,2793,585,131,182,30965,175,41,21732,148,1542,1023,3745,0,0,63,224,3225,449,135,1520,,,,113000,532,1205,541,1978,31.3,3745,0,24,1338,1197,28630,1746,1207,1190,1746,0.4988,08,023
"Douglas County, Colorado",336041,167729,168312,38.7,298665,4874,16079,120709,93633,221839,22535,18352,35899,119730,1959,24311,53313,5426,187660,10275,334706,108,1157,1545,4395,263779,33544,1653,133253,,,,468700,1725,95344,25365,1999,27.5,334814,293,747,180283,150647,4387925,120709,116203,115915,120709,0.3993,08,035
"Lake County, Colorado",7751,4308,3443,36.7,6614,9,65,3392,1936,5563,1187,415,334,50565,266,79,29122,182,4431,1110,7627,0,99,43,222,6670,1305,3,3003,,,,232100,982,2320,1072,1970,33.7,7700,39,46,4206,3661,124540,3392,2744,2744,3392,0.4414,08,065
"La Plata County, Colorado",55617,27999,27618,40.4,48924,276,406,21794,13079,39773,6758,2698,4183,68685,990,1719,39493,1243,30582,4919,53782,14,141,324,1040,46723,7981,505,23317,,,,395600,1147,15400,6394,1988,31.7,55146,101,296,28818,23238,565170,21794,17062,16938,21794,0.4703,08,067
"Pitkin County, Colorado",17926,9344,8582,41.8,16339,174,403,7467,3850,13680,1890,776,1236,78935,205,694,54875,371,12308,1200,17846,0,19,196,269,15549,3141,89,7600,,,,615900,1473,4851,2616,1985,30.2,17891,0,100,11730,6333,201110,7467,7024,6935,7467,0.5090,08,097
"Rio Grande County, Colorado",11305,5632,5673,42.1,10346,106,8,4823,2946,7655,2026,476,366,39123,434,102,24582,440,5054,1894,11137,16,103,12,366,9228,1230,210,4602,,,,172000,634,3049,1774,1976,26.6,11148,21,71,4491,4004,73580,4823,3086,3079,4823,0.4661,08,105
"Bent County, Colorado",5787,3735,2052,40.2,5287,238,12,1767,1118,4534,1182,288,131,30900,156,12,13930,89,1543,1177,3985,0,32,18,248,5064,1453,96,1648,,,,81000,643,1053,714,1959,33.0,3985,0,7,1439,1255,24995,1767,1294,1290,1767,0.4527,08,011
"Crowley County, Colorado",5754,3654,2100,35.4,5098,203,34,1301,905,3883,845,548,48,42135,114,5,15517,333,2257,1339,4802,0,24,125,333,5169,1536,21,1822,,,,79400,914,943,358,1955,25.5,4782,22,28,1933,1739,39075,1301,998,998,1301,0.4013,08,025
"San Juan County, Colorado",589,292,297,51.2,573,0,0,289,133,485,97,35,46,54625,12,8,34502,7,351,31,589,0,0,0,12,522,86,12,248,,,,322400,1019,181,108,1972,23.1,589,0,0,339,220,2580,289,228,222,289,0.3974,08,111
"Larimer County, Colorado",344786,172000,172786,36.0,314957,3387,7546,137021,84370,226787,36161,20887,31470,71881,6407,10523,37363,8901,191399,38822,335018,108,1257,3311,5356,288130,54740,2748,144977,,,,363800,1297,89118,47903,1989,33.4,342248,424,1244,179699,148903,3855800,137021,122825,122320,137021,0.4463,08,069
"Logan County, Colorado",22380,12086,10294,38.2,20452,189,185,8393,5044,15155,3819,2001,782,53318,628,257,26727,382,11653,2701,21500,0,128,200,654,18604,3639,160,8382,,,,157900,786,5476,2917,1962,29.9,21911,15,58,10990,9862,190020,8393,7040,7026,8393,0.4217,08,075
"San Miguel County, Colorado",8049,4240,3809,41.8,7619,1,149,3552,1892,6049,854,327,645,67038,141,315,47526,132,5232,909,8024,0,15,20,130,6814,1362,48,3236,,,,479300,1140,2166,1386,1993,30.0,8033,0,16,5020,2969,79610,3552,3045,3003,3552,0.5175,08,113
"Teller County, Colorado",24524,12480,12044,50.0,23221,208,193,10248,7029,18731,3449,2331,2141,66592,459,621,35703,726,12601,1984,24289,0,109,197,776,21027,2777,334,10280,,,,292700,1102,8451,1797,1988,28.7,24332,138,92,11738,10214,349690,10248,9231,9149,10248,0.4099,08,119
"Elbert County, Colorado",25717,13020,12697,46.1,24062,110,259,9280,7403,18326,4070,2298,1638,99199,195,1263,44690,283,14043,1230,25553,0,129,62,507,21351,2624,163,10605,,,,463600,1182,8354,926,1994,24.4,25626,0,61,13537,11915,480495,9280,8472,8420,9280,0.4013,08,039
"Las Animas County, Colorado",14266,7485,6781,45.9,12111,125,137,6670,3806,10527,2314,1206,596,41817,759,147,25813,512,6356,2474,13368,0,87,134,839,12193,1930,171,5777,,,,151100,712,4494,2176,1971,30.0,13640,6,79,5669,4789,109775,6670,4726,4691,6670,0.4708,08,071
"Lincoln County, Colorado",5585,3561,2024,38.0,4971,459,23,1518,918,4117,1009,326,106,47258,126,62,16753,41,1540,515,3488,0,20,17,70,4650,1401,72,1580,,,,147100,780,1071,447,1969,30.7,3500,14,39,1470,1247,23300,1518,1188,1157,1518,0.4737,08,073
"Summit County, Colorado",30649,16696,13953,39.1,27978,342,179,10641,5872,23359,3358,1349,2462,79277,263,769,41281,648,20453,2437,30524,0,97,87,542,26493,6521,255,11918,,,,579600,1393,6970,3671,1987,29.0,30569,79,86,19271,15287,287475,10641,8943,8882,10641,0.4050,08,117
"Alamosa County, Colorado",16107,8059,8048,31.8,13918,144,213,6162,3766,9619,2156,785,682,37515,554,169,22131,704,7638,3528,14993,0,114,412,477,12752,2698,95,6425,,,,157500,700,3562,2600,1978,29.2,15631,36,126,6601,6109,93855,6162,4695,4647,6162,0.4870,08,003
"Delta County, Colorado",30565,15453,15112,47.3,28866,367,323,11883,7736,22293,6733,1780,1316,45269,888,525,26499,780,11792,5379,29329,0,74,120,990,25609,3040,759,12678,,,,241500,834,8751,3132,1984,36.4,29342,0,86,10724,9068,274060,11883,8979,8763,11883,0.4805,08,029
"Fremont County, Colorado",47321,27599,19722,45.1,42504,2177,320,17136,11444,36942,8453,3271,2150,49409,1086,377,22692,833,15160,5226,36119,13,316,199,1186,41275,7608,712,16755,,,,174000,838,12858,4278,1980,29.5,36229,63,68,14189,12861,311105,17136,14317,14175,17136,0.4364,08,043
"Montrose County, Colorado",41686,20526,21160,45.2,39254,163,386,17140,11704,29724,7911,2099,1652,50489,1174,405,28078,1182,18841,6226,41191,39,178,273,1257,34205,3741,687,17494,,,,224400,901,12455,4685,1989,28.6,41335,119,324,17302,15365,310370,17140,13412,13268,17140,0.4518,08,085
"Morgan County, Colorado",28517,14348,14169,36.2,25319,1038,152,10928,7665,18401,4605,1707,829,53682,613,191,25064,579,14211,3078,28063,3,77,120,553,22309,2932,241,11095,,,,201200,835,6999,3929,1972,28.4,28143,74,184,13327,12204,242015,10928,9144,9078,10928,0.4076,08,087
"Saguache County, Colorado",6592,3283,3309,49.0,5948,33,0,2860,1788,4829,1204,271,271,38571,320,35,22511,181,2929,1152,6564,0,13,57,221,5402,787,77,2632,,,,152700,631,2045,815,1986,30.8,6566,0,54,2735,2222,49140,2860,1916,1900,2860,0.4521,08,109
"Prowers County, Colorado",12022,6132,5890,38.3,11351,95,70,4888,3163,7774,1651,825,452,41929,523,107,23698,278,5772,1866,11681,20,77,121,341,9469,1494,186,4678,,,,106100,697,3198,1690,1967,29.1,11879,13,56,5409,4923,73605,4888,3775,3775,4888,0.4428,08,099
"Washington County, Colorado",4868,2550,2318,41.6,4641,63,29,2087,1436,3390,984,345,117,50094,105,55,27860,57,2341,535,4547,0,27,3,65,3964,558,50,1920,,,,151300,734,1396,691,1958,23.2,4565,4,4,2241,1869,48095,2087,1718,1708,2087,0.4305,08,121
"Grand County, Colorado",15303,8087,7216,42.9,14510,172,213,5884,3600,11581,2524,896,865,71198,201,378,37876,295,8941,1440,15219,0,0,2,161,13174,2178,261,6188,,,,308200,1047,4028,1856,1989,27.8,15243,15,36,8436,6184,174250,5884,5262,5262,5884,0.4137,08,049
"Otero County, Colorado",18282,8904,9378,39.9,16479,113,167,7722,4652,12137,2882,1391,559,38169,1018,98,21110,557,7587,4226,17857,0,126,361,490,14659,2080,358,7549,,,,94900,675,4936,2786,1961,28.9,18104,3,213,6854,6081,106270,7722,5570,5537,7722,0.4568,08,089
"Broomfield County, Colorado",67886,33817,34069,37.8,58579,875,4420,27470,17931,46992,5814,4267,7648,96416,875,4118,50863,1263,39685,3763,67549,0,404,532,788,55019,8540,446,27719,,,,413500,1679,17917,9553,1999,28.3,67545,9,100,37971,31169,953825,27470,25593,25507,27470,0.4343,08,014
"Sussex County, Delaware",224384,108502,115882,49.6,184098,26918,2753,91697,62686,167940,46510,16053,15437,63162,4059,5429,35491,4501,103818,24933,220682,2,859,1208,4786,189016,24735,3104,98298,,,,258600,1030,73597,18100,1995,30.0,221482,322,676,97681,88194,2395690,91697,74642,74354,91697,0.4505,10,005
"District of Columbia, District of Columbia",692683,328644,364039,34.0,285857,320811,27592,284386,123683,494116,70065,14792,104526,86420,24456,51977,56147,27967,404838,107140,659676,225,2618,6500,14648,584437,157830,4625,310510,,,,601500,1541,118367,166019,1953,28.5,682728,424,1108,373844,144772,10753220,284386,235534,234970,284386,0.5269,11,001
"New Haven County, Connecticut",857513,413519,443994,40.3,628640,115837,34656,330572,206501,597200,163773,43856,66765,69905,19252,30087,38009,29621,459712,97553,831151,209,4687,5994,16533,715373,139591,9913,374645,,,,248600,1153,204451,126121,1962,31.6,847650,512,1509,422610,366374,10273960,330572,276814,275198,330572,0.4691,09,009
"Hartford County, Connecticut",893561,433975,459586,40.4,631471,123117,47734,350408,224364,623222,144043,51150,76511,75148,19788,36425,40540,27985,479105,94192,872105,217,5090,6313,19126,739475,138087,9437,383851,,,,240600,1106,224640,125768,1963,29.9,880624,447,1446,443046,395371,9915580,350408,295089,293914,350408,0.4716,09,003
"Shelby County, Tennessee",936374,444834,491540,35.6,366180,502669,24626,351194,218520,612601,147781,39019,55176,51657,30134,20380,30104,33372,469021,177675,918303,283,5729,7491,21436,739920,151828,8219,394653,,,,150400,942,193347,157847,1976,32.0,923664,1850,5593,429878,400263,9491340,351194,265509,264599,351194,0.5115,47,157
"Henderson County, Tennessee",27977,13721,14256,41.5,25091,2192,35,10711,7113,19449,6556,1515,660,43305,849,156,22695,822,12094,5183,27521,0,176,481,1024,22744,3003,413,11874,,,,102000,648,7793,2918,1985,31.2,27599,34,76,11196,10427,284195,10711,7909,7881,10711,0.4430,47,077
"Jefferson County, Tennessee",53679,26332,27347,43.9,51204,910,345,20154,13998,37994,11456,2839,1765,49139,1007,521,25159,1356,25075,6822,51534,30,636,653,2152,45032,6015,915,23099,,,,146300,681,15164,4990,1989,25.1,52725,47,149,23259,21573,582390,20154,14874,14841,20154,0.4355,47,089
"Sequatchie County, Tennessee",14816,7391,7425,44.1,14382,33,0,5528,4192,10733,3220,746,335,49370,311,53,23050,315,6432,2874,14560,28,168,126,893,12454,1321,117,6246,,,,142500,695,4132,1396,1997,23.1,14579,30,35,5995,5618,198175,5528,4074,4045,5528,0.4046,47,153
"Carroll County, Tennessee",27886,13613,14273,42.5,24211,2867,113,10962,7451,19286,6759,913,1058,42637,1164,179,22394,624,11797,5009,26965,16,343,447,1210,22923,3214,264,11873,,,,88300,622,8012,2950,1976,24.8,27376,19,122,10921,10148,282480,10962,7571,7565,10962,0.4531,47,017
"Davidson County, Tennessee",687488,331298,356190,34.3,440299,186295,24865,282366,156571,474362,87848,30207,49246,60388,16605,19258,36440,16378,397005,99119,666130,133,3237,5789,16274,563205,113174,5705,294904,,,,241700,1102,153439,128927,1981,28.9,680957,1510,3946,372827,327517,8691795,282366,240741,240297,282366,0.4826,47,037
"Perry County, Tennessee",7962,3941,4021,43.2,7372,218,178,3073,2068,5571,1806,358,226,41034,452,149,27970,259,3024,2099,7791,0,88,118,375,6556,1048,142,3341,,,,88100,613,2533,540,1987,27.8,7804,12,142,2728,2301,62980,3073,1874,1807,3073,0.6083,47,135
"Meigs County, Tennessee",12104,5991,6113,46.0,11630,230,26,4938,3331,8808,3262,699,263,49167,385,79,24525,456,4973,2006,11848,0,114,124,534,10101,1028,152,5079,,,,136600,726,3887,1051,1992,30.5,11997,36,56,4405,4199,132880,4938,3340,3310,4938,0.4204,47,121
"Haywood County, Tennessee",17623,8238,9385,42.0,8243,8950,8,7181,4727,12196,4860,509,449,37905,919,85,21839,533,7861,3267,17374,0,199,120,611,14334,2149,268,7769,,,,100700,651,4177,3004,1976,28.6,17395,18,43,7244,6918,168000,7181,4384,4355,7181,0.4631,47,075
"Montgomery County, Tennessee",200180,99949,100231,30.8,141131,40208,4409,72617,51167,123893,29184,12672,9277,57541,4691,2251,26923,5771,88192,26060,195756,119,1464,2833,6627,154096,23750,1586,77766,,,,165800,971,43243,29374,1993,28.1,185802,519,633,93729,87887,2351980,72617,62922,62772,72617,0.4162,47,125
"Grundy County, Tennessee",13344,6599,6745,43.4,11758,96,26,4820,3320,9408,2889,616,473,40516,619,81,20592,472,5506,2977,13124,0,103,153,679,10976,1590,211,5641,,,,87200,629,3760,1060,1984,28.8,13169,0,46,4958,4452,133160,4820,3167,3149,4820,0.4790,47,061
"Cocke County, Tennessee",35552,17255,18297,45.2,33687,662,67,14060,9196,25774,9938,1546,785,36716,1495,166,21867,1307,15214,8242,35103,0,431,255,1583,29500,3969,818,15327,,,,112900,646,9431,4629,1984,27.0,35256,34,254,13801,13140,379015,14060,8968,8934,14060,0.4672,47,029
"DeKalb County, Tennessee",19847,9857,9990,41.1,18582,360,54,7704,5401,14120,4540,858,515,45511,727,183,25399,426,8439,3564,19372,0,41,219,704,16338,2109,147,8295,,,,148600,644,5266,2438,1981,22.4,19596,6,33,7915,7531,213835,7704,5628,5547,7704,0.4749,47,041
"Lewis County, Tennessee",12027,5823,6204,43.3,11436,219,164,4715,3175,8471,2813,698,205,37277,332,57,21516,133,5053,2295,11787,0,123,109,565,9884,1357,210,5142,,,,95600,580,3676,1039,1986,30.7,11841,0,34,4792,4464,119535,4715,2820,2787,4715,0.4372,47,101
"Obion County, Tennessee",30365,14609,15756,42.6,25859,3126,116,12717,8389,21277,7573,1183,826,39615,1135,221,23375,742,13593,6267,29766,38,253,302,1720,24949,3250,378,13077,,,,91500,621,8254,4463,1974,28.6,29908,43,44,12615,11895,253200,12717,9664,9606,12717,0.4637,47,131
"Tipton County, Tennessee",61447,30265,31182,37.5,47750,11313,520,21452,16419,41092,12919,3264,2040,61291,1293,893,28457,1808,29408,7503,60527,21,515,424,2246,49081,7598,776,25199,,,,150000,825,15305,6147,1991,27.4,60467,22,187,27344,26175,893065,21452,16306,16175,21452,0.4398,47,167
"Dyer County, Tennessee",37416,18137,19279,40.5,30612,4836,290,15120,10566,25509,7166,2062,1193,44185,1446,427,27710,1105,17378,6788,36582,41,169,309,1556,30120,3578,683,15805,,,,103800,680,9300,5820,1976,27.1,36879,0,155,16051,15275,319130,15120,11623,11574,15120,0.5245,47,045
"Hamilton County, Tennessee",360919,174207,186712,39.7,271750,69100,7445,145213,88001,253874,56637,22553,21092,55070,8645,8467,32839,8947,182604,44952,350250,187,1894,2866,9592,297952,49637,4387,155908,,,,180900,868,92887,52326,1978,29.5,356815,349,1053,169365,152976,3477450,145213,117537,117369,145213,0.4836,47,065
"Polk County, Tennessee",16814,8366,8448,45.6,16160,56,17,7383,5239,12288,3735,1055,426,43306,450,123,25405,539,7727,2473,16494,0,108,35,534,14135,1764,136,7074,,,,112700,688,5443,1940,1985,22.2,16562,46,92,6981,6631,197885,7383,5322,5268,7383,0.4418,47,139
"White County, Tennessee",26800,13070,13730,43.2,25710,568,47,10048,6904,18790,7071,898,588,41998,807,203,22040,720,11158,4280,26342,0,89,168,1138,21824,2593,347,11325,,,,117000,680,8039,2009,1985,32.1,26399,107,194,10159,9654,237355,10048,7082,7029,10048,0.4502,47,185
"Sullivan County, Tennessee",157050,76345,80705,45.1,148183,3067,953,66511,42837,114478,30977,9345,6895,46684,4915,2231,28429,4388,71116,24615,154443,2,1276,1625,6534,132157,16819,2338,68553,,,,141300,668,47784,18727,1975,27.3,155319,80,227,65399,61018,1349320,66511,52751,52576,66511,0.4778,47,163
"Schoharie County, New York",31222,15500,15722,45.4,29791,496,281,12559,7907,22309,6762,2808,1634,57714,509,452,30397,817,15246,3612,29842,0,185,360,1051,26757,4625,394,13529,,,,144800,790,9522,3037,1972,27.6,31148,28,44,13883,12222,406055,12559,9546,9424,12559,0.4240,36,095
